word,language,lang_code,seed_word,meaning_en,category,domain,morph_type,ipa,x1_weight,x2_time,x3_space,x4_flow,x5_hardness,x6_moisture,x7_freq_hz,x8_decay,color_hex
あたふた,JP,ja,あたふた,"State of being panicked, flustered, or in a hurry.",Psychomime (State/Manner),Other,COMPOUND(複合・異種),ataɸuta,2,8,3,6,7,3,440.0,7,#FFD700
あっ,JP,ja,あ,Manner or sound of あっ: 声門閉鎖音による極端なTime 9とDecay 9。高いBo値を示す。,Psychomime (State/Manner),Other,Q(促音単発),aʔ,6,9,9,8,2,1,350.0,9,#FF0000
あっさり,JP,ja,あっさ,"Light, refreshing, straightforward, or without lingering attached feelings.",Psychomime (State/Manner),Other,COMPOUND(複合・異種),assaɾi,2,7,8,1,8,5,520.0,6,#F0FFFF
あっぷあっぷ,JP,ja,あっふ,"Flail, struggle for breath in water, or suffer in distress.",Psychomime (State/Manner),Other,REDUP(畳語・同一),appuappu,5,6,4,7,6,9,220.0,5,#4169E1
あはは,JP,ja,あはは,"Loud, bright, or cheerful laughter.",Psychomime (State/Manner),Other,OTHER(単発),ahaha,1,5,2,0,9,6,480.0,2,#FFFF00
あぶあぶ,JP,ja,あふ,Babbling sound of a baby or gasping underwater.,Psychomime (State/Manner),Other,REDUP(畳語・同一),abuabu,4,5,4,6,7,8,180.0,4,#ADD8E6
あんぐり,JP,ja,あんく,Gaping mouth open in astonishment or amazement.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),aŋɡuɾi,5,4,8,3,4,4,150.0,6,#FFA500
あんあん,JP,ja,あんあ,"Crying softly, whimpering, or weeping in a pampered manner.",Psychomime (State/Manner),Other,REDUP(畳語・同一),aŋaŋ,3,3,2,5,8,7,320.0,2,#FF69B4
あーあ,JP,ja,あーあ,Sighing or expressing regret/disappointment with a long sound.,Psychomime (State/Manner),Other,LONG(長音ー),aːa,2,1,1,2,9,4,280.0,0,#BEBEBE
あーん,JP,ja,あ,Child crying loudly or opening mouth wide.,Psychomime (State/Manner),Other,LONG+N(長音+ん),aːŋ,3,2,6,3,7,5,250.0,1,#FFDAB9
いじいじ,JP,ja,いし,"Hesitant, timid, or sullen behavior.",Psychomime (State/Manner),Other,REDUP(畳語・同一),idʑiidʑi,4,3,2,9,3,5,200.0,5,#4B0082
いそいそ,JP,ja,いそ,"Excitedly, cheerfully, or eagerly moving.",Psychomime (State/Manner),Other,REDUP(畳語・同一),isoiso,2,7,7,2,8,2,600.0,4,#FFFACD
いちゃいちゃ,JP,ja,いちゃ,"Flirting, being affectionate or doting.",Psychomime (State/Manner),Other,REDUP(畳語・同一),itɕaitɕa,3,4,4,5,6,8,450.0,4,#FFC0CB
いひひ,JP,ja,いひひ,"Chuckle eerily, snicker, or laugh with scheme.",Psychomime (State/Manner),Other,OTHER(単発),içiçi,2,6,6,7,8,4,750.0,5,#ADFF2F
いらいら,JP,ja,いら,"Irritated, frustrated, or impatient state.",Psychomime (State/Manner),Other,REDUP(畳語・同一),iɾaiɾa,6,7,6,8,5,2,380.0,3,#FF4500
うおーっ,JP,ja,うお,Manner or sound of うおーっ: 叫び声や気合いの sound.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),uoːʔ,8,4,9,4,4,5,120.0,8,#FF0000
うおーん,JP,ja,うお,Manner or sound of うおーん: 遠くで響く咆哮や泣き voice/cry.,Psychomime (State/Manner),Other,COMPOUND(複合・異種),uoːŋ,7,2,4,2,5,6,110.0,1,#4682B4
うかうか,JP,ja,うか,Manner or sound of うかうか: 油断してうっかり過ごす state/manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),ukauka,1,5,2,1,9,2,400.0,3,#F5F5F5
うきうき,JP,ja,うき,Manner or sound of うきうき: 心が弾んで軽やかで楽しげな manner.,Psychomime (State/Manner),Other,REDUP(畳語・同一),ukiuki,2,7,6,0,8,3,550.0,5,#FFFFE0
